type,manufacturer,model,yom,price,date
Registered,suzuki,WAGON R FX,2016,2480000,7/1/2020
Registered,suzuki,WAGON R FX,2016,2630000,8/1/2020
Registered,suzuki,WAGON R FX,2016,2716666.667,9/1/2020
Registered,suzuki,WAGON R FX,2016,2666666.667,10/1/2020
Registered,suzuki,WAGON R FX,2016,2691666.667,11/1/2020
Registered,suzuki,WAGON R FX,2016,2691666.667,12/1/2020
Registered,suzuki,WAGON R FX,2016,2731666.667,1/1/2021
Registered,suzuki,WAGON R FX,2016,2771666.667,2/1/2021
Registered,suzuki,WAGON R FX,2016,2801666.667,3/1/2021
Registered,suzuki,WAGON R FX,2016,2855000,4/1/2021
Registered,suzuki,WAGON R FX,2016,2873333.333,5/1/2021
Registered,suzuki,WAGON R FX,2016,2883333.333,6/1/2021
Registered,suzuki,WAGON R FX,2016,2906666.667,7/1/2021
Registered,suzuki,WAGON R FX,2016,3028333.333,8/1/2021
Registered,suzuki,WAGON R FX,2016,3278333.333,9/1/2021
Registered,suzuki,WAGON R FX,2016,4133333.333,10/1/2021
Registered,suzuki,WAGON R FX,2016,4083333.333,11/1/2021
Registered,suzuki,WAGON R FX,2016,4333333.333,12/1/2021
Registered,suzuki,WAGON R FX,2016,4683333.333,1/1/2022
Registered,suzuki,WAGON R FX,2016,4883333.333,2/1/2022
Registered,suzuki,WAGON R FX,2016,5083333.333,3/1/2022
Registered,suzuki,WAGON R FX,2016,5183333.333,4/1/2022
Registered,suzuki,WAGON R FX,2016,4900000,5/1/2022
Registered,suzuki,WAGON R FX,2016,4850000,6/1/2022
Registered,suzuki,WAGON R FX,2016,4800000,7/1/2022
Registered,suzuki,WAGON R FX,2016,4200000,8/1/2022
Registered,suzuki,WAGON R FX,2016,4150000,9/1/2022
Registered,suzuki,WAGON R FX,2016,3850000,10/1/2022
Registered,suzuki,WAGON R FX,2016,3800000,11/1/2022
Registered,suzuki,WAGON R FX,2016,3775000,12/1/2022
Registered,suzuki,WAGON R FX,2016,3725000,1/1/2023
Registered,suzuki,WAGON R FX,2016,3750000,2/1/2023
Registered,suzuki,WAGON R FX,2016,3850000,3/1/2023
Registered,suzuki,WAGON R FX,2016,3825000,4/1/2023
Registered,suzuki,WAGON R FX,2016,3775000,5/1/2023
Registered,suzuki,WAGON R FX,2016,3750000,6/1/2023
Registered,suzuki,WAGON R FX,2016,4050000,7/1/2023
Registered,suzuki,WAGON R FX,2016,4350000,8/1/2023
Registered,suzuki,WAGON R FX,2016,4450000,9/1/2023
Registered,suzuki,WAGON R FX,2016,4500000,10/1/2023
Registered,suzuki,WAGON R FX,2016,4600000,11/1/2023
Registered,suzuki,WAGON R FX,2016,4800000,12/1/2023
Registered,suzuki,WAGON R FX,2016,5000000,1/1/2024
Registered,suzuki,WAGON R FX,2016,5100000,2/1/2024
Registered,suzuki,WAGON R FX,2016,5200000,3/1/2024
Registered,suzuki,WAGON R FX,2016,5300000,4/1/2024
Registered,suzuki,WAGON R FX,2016,5100000,5/1/2024
Registered,suzuki,WAGON R FX,2016,5300000,6/1/2024
Registered,suzuki,WAGON R FX,2016,5350000,7/1/2024
Registered,suzuki,WAGON R FX,2016,5400000,8/1/2024
Registered,suzuki,WAGON R FX,2016,5450000,9/1/2024
Registered,suzuki,WAGON R FX,2016,5450000,10/1/2024
Registered,suzuki,WAGON R FX,2016,5350000,11/1/2024
Registered,suzuki,WAGON R FX,2016,5200000,12/1/2024
Registered,suzuki,WAGON R FX,2016,5000000,1/1/2025
Registered,suzuki,WAGON R FX,2016,4900000,2/1/2025
Registered,suzuki,WAGON R FX,2016,4700000,3/1/2025
Registered,suzuki,WAGON R FX,2016,4850000,4/1/2025
Registered,suzuki,WAGON R FX,2016,5100000,5/1/2025
Registered,suzuki,WAGON R FX,2016,5500000,6/1/2025
Registered,suzuki,WAGON R FX,2016,5600000,7/1/2025
Registered,suzuki,WAGON R FX,2016,5700000,8/1/2025
Registered,suzuki,WAGON R FX,2016,5400000,9/1/2025
